%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Pitot Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
102473.219,298.471,351.344,179.848,19.074,-0.004,5
102461.125,298.477,351.423,179.528,19.091,-0.014,5
102469.188,298.467,351.344,179.208,19.074,0.006,5
102465.156,298.472,351.186,179.048,19.058,0.006,5
102473.219,298.467,351.344,179.048,19.042,-0.004,5
102473.219,298.476,351.502,178.728,19.042,-0.004,5
102469.188,298.477,351.423,178.568,19.042,-0.014,5
102461.125,298.474,351.344,178.248,19.058,0.006,5
102477.251,298.476,351.581,178.408,19.091,-0.004,5
102465.156,298.48,351.265,178.087,19.091,-0.004,5
102481.282,298.477,351.66,177.607,19.091,-0.004,5
102465.156,298.477,351.581,177.767,19.042,-0.004,5
102469.188,298.476,351.502,177.287,19.074,-0.004,5
102465.156,298.479,351.423,176.967,19.074,-0.004,5
102465.156,298.479,351.423,176.807,19.058,-0.004,5
102465.156,298.479,351.66,176.326,19.025,0.006,5
102457.093,298.492,351.581,176.807,19.009,0.016,5
102469.188,298.477,351.739,176.166,19.058,0.006,5
102469.188,298.471,351.66,176.647,19.091,-0.014,5
102465.156,298.479,351.66,176.166,19.107,-0.014,5
102473.219,298.482,351.897,268.38,19.042,0.529,5
102469.188,298.477,351.897,268.7,18.993,0.498,5
102469.188,298.477,351.66,269.18,18.993,0.529,5
102469.188,298.477,351.66,269.501,19.074,0.519,5
102469.188,298.484,351.66,269.821,19.058,0.508,5
102461.125,298.476,351.423,270.301,19.042,0.519,5
102461.125,298.48,351.502,270.781,18.977,0.508,5
102465.156,298.482,351.344,270.621,19.042,0.529,5
102444.999,298.479,351.423,271.102,19.058,0.519,5
102465.156,298.472,351.739,271.102,19.091,0.498,5
102461.125,298.477,351.423,271.262,19.009,0.519,5
102469.188,298.472,351.265,271.422,18.993,0.519,5
102461.125,298.453,351.344,271.262,19.042,0.519,5
102461.125,298.476,351.028,271.262,19.009,0.508,5
102457.093,298.474,350.949,270.941,19.058,0.508,5
102449.03,298.471,350.87,271.102,19.091,0.508,5
102461.125,298.471,350.87,270.941,19.074,0.519,5
102453.062,298.474,350.475,270.781,19.009,0.539,5
102457.093,298.477,350.87,270.301,19.009,0.519,5
102461.125,298.471,350.791,269.821,19.058,0.508,5
102457.093,298.471,352.846,299.278,19.074,1.041,5
102461.125,298.467,352.609,299.118,19.042,1.021,5
102461.125,298.474,352.767,298.958,19.042,1.021,5
102469.188,298.471,352.846,298.638,19.042,1.041,5
102473.219,298.471,352.767,298.317,19.042,1.031,5
102477.251,298.471,352.925,297.997,19.042,1.031,5
102465.156,298.471,352.846,297.837,19.025,1.021,5
102461.125,298.472,352.846,297.357,19.058,1.031,5
102473.219,298.472,352.688,297.197,19.074,1.031,5
102469.188,298.469,352.688,296.877,19.074,1.021,5
102469.188,298.477,352.529,296.716,19.025,1.041,5
102473.219,298.459,352.688,296.236,19.058,1.031,5
102469.188,298.472,352.609,296.236,19.058,1.031,5
102485.314,298.474,352.529,295.756,19.042,1.031,5
102481.282,298.471,352.767,295.596,19.074,1.021,5
102485.314,298.467,352.767,295.436,19.107,1.031,5
102481.282,298.472,352.767,294.955,19.042,1.041,5
102481.282,298.476,352.609,294.795,19.107,1.021,5
102469.188,298.471,352.688,294.635,19.042,1.031,5
102477.251,298.469,352.767,294.635,19.058,1.011,5
102465.156,298.464,352.055,325.693,11.963,1.492,5
102473.219,298.466,351.66,326.014,11.164,1.492,5
102457.093,298.466,351.818,325.853,10.006,1.503,5
102457.093,298.464,351.739,326.014,9.778,1.492,5
102465.156,298.464,351.66,326.334,8.359,1.492,5
102461.125,298.463,351.739,326.494,7.756,1.503,5
102457.093,298.464,351.897,326.494,6.565,1.492,5
102457.093,298.467,351.344,326.654,4.82,1.472,5
102457.093,298.471,352.134,326.974,3.89,1.482,5
102461.125,298.464,351.818,326.814,2.536,1.492,5
102465.156,298.467,352.055,326.974,2.015,1.482,5
102461.125,298.469,351.976,327.134,1.427,1.513,5
102493.377,298.466,351.897,327.134,0.579,1.482,5
102465.156,298.466,351.739,327.134,0.384,1.482,5
102501.439,298.466,351.976,327.454,0.188,1.503,5
102457.093,298.467,351.976,327.614,0.172,1.492,5
102461.125,298.48,351.976,327.614,0.253,1.492,5
102453.062,298.466,352.134,327.775,0.237,1.503,5
102473.219,298.466,352.055,328.095,0.286,1.492,5
102485.314,298.469,352.213,327.614,0.367,1.503,5
102457.093,298.464,354.742,339.301,19.123,2.005,5
102432.905,298.464,354.584,338.821,19.074,2.005,5
102457.093,298.463,354.584,338.821,19.058,1.994,5
102465.156,298.464,354.505,338.821,19.074,1.994,5
102457.093,298.463,354.584,338.981,19.042,2.005,5
102465.156,298.461,354.426,338.501,19.042,2.015,5
102469.188,298.461,354.505,338.661,19.025,2.005,5
102449.03,298.463,354.426,338.341,19.058,2.015,5
102461.125,298.466,354.584,338.501,19.042,1.984,5
102457.093,298.471,354.505,338.501,19.058,2.005,5
102465.156,298.466,354.426,338.821,19.074,1.994,5
102473.219,298.467,354.505,338.501,19.025,1.994,5
102485.314,298.464,354.584,338.501,19.042,2.005,5
102465.156,298.467,354.663,338.661,19.058,2.015,5
102469.188,298.463,354.979,338.501,19.074,2.005,5
102461.125,298.466,354.505,338.341,19.074,2.005,5
102465.156,298.464,354.584,338.181,19.058,1.984,5
102461.125,298.467,354.268,338.341,19.042,1.994,5
102477.251,298.459,354.347,338.181,18.993,2.005,5
102461.125,298.463,354.505,338.341,19.042,1.994,5
102461.125,298.458,351.423,339.461,18.83,2.517,5
102469.188,298.456,351.107,339.461,18.846,2.527,5
102469.188,298.455,351.107,339.141,18.862,2.517,5
102453.062,298.463,351.265,339.141,18.813,2.517,5
102465.156,298.453,351.344,338.661,18.83,2.527,5
102453.062,298.455,351.344,338.821,18.813,2.538,5
102457.093,298.455,351.028,339.301,18.895,2.527,5
102453.062,298.455,351.265,339.141,18.781,2.507,5
102436.936,298.453,351.265,338.981,18.862,2.517,5
102465.156,298.459,351.502,338.981,18.879,2.517,5
102457.093,298.456,351.423,338.981,18.846,2.486,5
102469.188,298.456,351.502,338.661,18.862,2.527,5
102465.156,298.456,351.344,338.821,18.862,2.507,5
102457.093,298.453,351.344,338.501,18.879,2.507,5
102449.03,298.453,350.949,338.181,18.83,2.527,5
102453.062,298.463,351.265,338.181,18.846,2.497,5
102461.125,298.459,351.344,338.181,18.846,2.527,5
102449.03,298.453,351.502,338.181,18.846,2.517,5
102461.125,298.456,351.107,338.021,18.862,2.527,5
102461.125,298.451,351.502,337.86,18.862,2.517,5
102457.093,298.451,351.265,343.944,18.846,3.04,5
102469.188,298.455,351.265,343.944,18.862,3.04,5
102444.999,298.451,351.423,343.784,18.862,3.03,5
102473.219,298.453,351.265,343.624,18.813,3.03,5
102461.125,298.455,351.265,343.624,18.813,3.03,5
102469.188,298.453,351.423,344.104,18.862,3.03,5
102465.156,298.456,351.344,343.784,18.895,3.03,5
102469.188,298.455,351.265,343.944,18.862,3.03,5
102461.125,298.451,351.186,343.784,18.862,3.04,5
102436.936,298.45,351.344,343.944,18.813,3.03,5
102461.125,298.45,351.186,343.624,18.846,3.04,5
102469.188,298.448,351.107,344.104,18.846,3.019,5
102461.125,298.443,351.028,344.104,18.879,3.019,5
102457.093,298.448,351.423,344.104,18.862,3.04,5
102469.188,298.45,351.265,344.104,18.862,3.019,5
102485.314,298.448,351.186,344.584,18.879,3.03,5
102444.999,298.451,351.265,344.584,18.862,3.03,5
102469.188,298.451,351.344,344.584,18.862,3.019,5
102485.314,298.451,351.186,344.264,18.813,3.03,5
102469.188,298.453,351.186,344.424,18.879,3.019,5
102465.156,298.456,354.979,348.106,18.83,3.481,5
102473.219,298.451,354.821,348.106,18.813,3.481,5
102465.156,298.453,354.742,347.786,18.83,3.481,5
102469.188,298.451,354.663,347.626,18.813,3.481,5
102465.156,298.448,354.742,347.466,18.846,3.491,5
102473.219,298.451,354.426,347.146,18.83,3.481,5
102457.093,298.45,354.268,347.146,18.879,3.481,5
102465.156,298.446,354.505,347.146,18.846,3.481,5
102469.188,298.451,354.268,346.986,18.797,3.501,5
102461.125,298.446,354.347,346.986,18.879,3.481,5
102461.125,298.451,354.426,346.986,18.846,3.491,5
102469.188,298.45,354.189,346.986,18.895,3.491,5
102469.188,298.451,354.426,346.826,18.83,3.491,5
102477.251,298.453,354.426,346.826,18.862,3.481,5
102469.188,298.456,354.268,346.826,18.83,3.481,5
102457.093,298.446,354.031,346.666,18.846,3.47,5
102469.188,298.448,354.031,346.666,18.813,3.491,5
102465.156,298.448,354.031,346.185,18.879,3.491,5
102457.093,298.446,353.794,346.345,18.83,3.491,5
102457.093,298.446,353.952,346.666,18.862,3.491,5
102449.03,298.446,350.633,346.505,18.846,4.003,5
102469.188,298.446,350.712,346.666,18.813,3.983,5
102457.093,298.45,350.633,346.505,18.911,3.993,5
102485.314,298.446,350.712,346.505,18.846,4.024,5
102465.156,298.446,351.186,346.505,18.862,4.003,5
102469.188,298.445,350.791,346.826,18.846,4.003,5
102469.188,298.443,350.791,346.826,18.846,3.993,5
102465.156,298.443,350.633,346.666,18.83,4.003,5
102461.125,298.443,350.475,346.826,18.846,3.993,5
102461.125,298.44,350.554,346.826,18.83,4.003,5
102469.188,298.446,350.87,346.826,18.846,4.003,5
102465.156,298.442,350.791,346.826,18.83,4.003,5
102477.251,298.443,350.633,347.306,18.895,3.993,5
102469.188,298.443,350.712,347.146,18.862,3.993,5
102469.188,298.45,351.028,346.986,18.846,4.003,5
102461.125,298.44,351.107,347.306,18.83,4.014,5
102469.188,298.446,351.028,346.986,18.862,3.993,5
102477.251,298.448,350.949,347.146,18.862,4.003,5
102485.314,298.438,351.107,346.826,18.83,4.003,5
102465.156,298.44,351.107,347.146,18.83,4.014,5
102477.251,298.43,354.426,346.345,18.846,4.485,5
102473.219,298.432,354.584,346.185,18.862,4.516,5
102469.188,298.435,354.742,346.185,18.813,4.516,5
102457.093,298.435,354.426,346.345,18.83,4.505,5
102465.156,298.434,354.426,346.345,18.813,4.516,5
102465.156,298.435,354.426,346.505,18.83,4.505,5
102473.219,298.437,354.505,346.345,18.83,4.516,5
102477.251,298.435,354.426,346.345,18.846,4.516,5
102469.188,298.429,354.347,346.185,18.879,4.505,5
102473.219,298.435,354.505,346.025,18.879,4.516,5
102473.219,298.426,354.347,346.025,18.862,4.516,5
102465.156,298.432,354.347,346.185,18.83,4.526,5
102465.156,298.432,354.189,346.025,18.797,4.516,5
102469.188,298.432,354.268,345.865,18.83,4.505,5
102469.188,298.434,354.268,346.185,18.862,4.516,5
102469.188,298.43,354.347,346.185,18.813,4.495,5
102465.156,298.435,354.189,345.865,18.83,4.505,5
102469.188,298.43,354.189,346.025,18.846,4.526,5
102481.282,298.432,354.347,345.705,18.83,4.516,5
102477.251,298.435,354.268,345.865,18.813,4.516,5
102453.062,298.427,354.268,347.946,-0.285,5.038,5
102465.156,298.432,354.347,347.626,-0.301,5.028,5
102473.219,298.43,354.268,347.786,-0.269,5.028,5
102461.125,298.432,354.268,347.786,-0.285,5.038,5
102453.062,298.43,354.189,347.626,-0.285,5.028,5
102461.125,298.429,354.031,347.626,-0.269,5.038,5
102461.125,298.43,353.873,347.786,-0.269,5.018,5
102453.062,298.429,354.031,347.466,-0.269,5.038,5
102461.125,298.432,354.268,347.786,-0.252,5.038,5
102453.062,298.434,354.189,347.786,-0.269,5.038,5
102461.125,298.434,354.11,347.786,-0.269,5.028,5
102461.125,298.432,354.268,347.946,-0.236,5.038,5
102469.188,298.434,354.268,347.786,-0.252,5.038,5
102473.219,298.432,354.426,347.466,-0.236,5.018,5
102461.125,298.426,354.268,347.786,-0.252,5.038,5
102457.093,298.434,354.189,347.306,-0.22,5.028,5
102457.093,298.429,354.347,347.466,-0.236,5.038,5
102457.093,298.43,354.347,347.626,-0.204,5.028,5
102457.093,298.432,354.426,347.306,-0.187,5.049,5
102461.125,298.429,354.031,347.626,-0.204,5.018,5
102465.156,298.427,355.849,348.106,-0.089,5.51,5
102461.125,298.429,355.137,348.106,-0.04,5.489,5
102449.03,298.427,354.979,347.946,0.025,5.489,5
102465.156,298.424,355.137,347.786,0.057,5.489,5
102449.03,298.427,354.821,347.626,0.106,5.489,5
102457.093,298.421,355.058,347.786,0.139,5.5,5
102461.125,298.427,354.742,347.786,0.155,5.5,5
102457.093,298.429,355.058,348.106,0.188,5.5,5
102465.156,298.427,355.058,348.266,0.204,5.5,5
102485.314,298.427,355.137,347.946,0.204,5.5,5
102461.125,298.427,355.137,348.106,0.237,5.5,5
102469.188,298.429,354.979,347.946,0.253,5.479,5
102461.125,298.424,354.9,347.626,0.188,5.489,5
102469.188,298.432,354.426,347.466,0.025,5.5,5
102453.062,298.422,354.9,347.626,0.123,5.489,5
102453.062,298.426,354.663,347.626,1.346,5.5,5
102465.156,298.426,354.9,347.786,2.422,5.5,5
102465.156,298.429,354.979,347.786,4.216,5.479,5
102461.125,298.424,355.058,347.946,6.516,5.5,5
102469.188,298.424,355.216,348.266,9.354,5.489,5
102449.03,298.417,355.612,347.946,18.846,6.002,5
102449.03,298.416,356.086,348.266,18.862,6.002,5
102461.125,298.419,355.928,348.427,18.797,6.012,5
102444.999,298.419,355.928,348.106,18.862,5.981,5
102444.999,298.43,355.77,348.106,18.944,5.992,5
102453.062,298.414,356.086,348.266,18.879,6.012,5
102453.062,298.419,356.007,348.266,18.879,5.981,5
102457.093,298.417,355.928,348.266,18.813,6.022,5
102465.156,298.421,355.691,348.427,18.862,6.002,5
102457.093,298.421,356.086,348.106,18.879,6.002,5
102465.156,298.419,356.165,348.266,18.83,6.012,5
102469.188,298.419,356.323,347.946,18.862,6.002,5
102457.093,298.421,356.244,347.946,18.846,5.981,5
102465.156,298.419,356.007,348.266,18.846,5.992,5
102453.062,298.416,356.007,348.106,18.83,6.012,5
102453.062,298.416,355.928,348.266,18.862,5.992,5
102469.188,298.419,355.928,348.427,18.813,6.012,5
102465.156,298.416,355.928,348.106,18.846,6.002,5
102465.156,298.422,356.007,348.427,18.83,6.012,5
102461.125,298.419,356.086,348.266,18.879,6.002,5
102469.188,298.409,354.505,345.545,-0.204,6.525,5
102465.156,298.409,354.347,345.705,-0.171,6.494,5
102449.03,298.408,354.426,345.865,-0.204,6.514,5
102465.156,298.413,354.426,346.025,-0.22,6.504,5
102469.188,298.413,354.505,346.025,-0.171,6.504,5
102457.093,298.416,354.663,346.185,-0.187,6.504,5
102469.188,298.413,354.584,346.185,-0.187,6.514,5
102465.156,298.411,354.742,346.185,-0.187,6.514,5
102465.156,298.409,354.742,346.185,-0.187,6.514,5
102465.156,298.4,354.9,346.025,-0.204,6.494,5
102481.282,298.408,354.663,346.185,-0.204,6.525,5
102457.093,298.406,354.663,346.185,-0.171,6.514,5
102453.062,298.408,354.742,346.185,-0.204,6.504,5
102461.125,298.408,354.663,346.345,-0.171,6.514,5
102453.062,298.411,354.742,346.345,-0.171,6.525,5
102453.062,298.409,354.663,346.505,-0.187,6.514,5
102465.156,298.409,354.742,346.505,-0.187,6.525,5
102457.093,298.413,354.742,346.505,-0.22,6.504,5
102449.03,298.413,354.979,346.345,-0.204,6.514,5
102449.03,298.414,354.268,346.505,-0.204,6.514,5
102453.062,298.406,353.32,346.666,-0.187,6.986,5
102453.062,298.409,353.478,346.666,-0.204,6.976,5
102457.093,298.405,353.32,346.505,-0.187,7.006,5
102432.905,298.406,353.557,346.826,-0.187,6.986,5
102461.125,298.411,353.557,346.986,-0.187,6.986,5
102465.156,298.414,353.873,347.306,-0.22,6.996,5
102469.188,298.413,353.636,347.306,-0.204,7.006,5
102465.156,298.408,353.794,347.146,-0.204,6.976,5
102469.188,298.411,353.636,346.986,-0.236,6.986,5
102457.093,298.401,353.636,346.986,-0.22,6.986,5
102461.125,298.409,353.636,347.146,-0.22,6.996,5
102461.125,298.421,353.636,347.146,-0.22,6.996,5
102461.125,298.406,353.794,347.146,-0.22,7.006,5
102465.156,298.405,353.636,347.146,-0.236,7.017,5
102465.156,298.413,353.636,346.826,-0.204,6.996,5
102469.188,298.411,353.636,346.826,-0.236,6.965,5
102469.188,298.413,353.715,346.986,-0.236,6.996,5
102449.03,298.414,353.794,347.146,-0.22,6.996,5
102465.156,298.413,354.031,346.826,-0.22,6.996,5
102465.156,298.411,353.557,346.826,-0.236,6.986,5
102449.03,298.4,354.584,347.786,18.813,7.488,5
102453.062,298.403,354.189,347.946,18.846,7.488,5
102453.062,298.4,354.505,347.786,18.862,7.488,5
102453.062,298.396,354.505,348.106,18.813,7.498,5
102449.03,298.403,354.426,348.106,18.846,7.488,5
102453.062,298.393,354.347,348.106,18.813,7.498,5
102453.062,298.395,354.505,348.266,18.862,7.478,5
102453.062,298.4,354.584,348.266,18.813,7.488,5
102457.093,298.4,354.821,348.106,18.732,7.478,5
102457.093,298.401,354.663,347.466,18.83,7.498,5
102453.062,298.393,354.584,348.106,18.797,7.488,5
102457.093,298.396,354.821,347.786,18.879,7.457,5
102444.999,298.396,354.347,347.946,18.83,7.488,5
102444.999,298.393,354.663,348.106,18.879,7.467,5
102465.156,298.392,355.216,347.946,18.895,7.498,5
102449.03,298.395,354.663,347.786,18.879,7.498,5
102465.156,298.4,354.505,347.946,18.846,7.478,5
102461.125,298.395,355.058,348.106,18.846,7.488,5
102457.093,298.409,354.189,348.427,18.813,7.498,5
102449.03,298.396,354.742,348.427,18.862,7.498,5
102440.968,298.393,354.821,347.466,18.862,8.011,5
102453.062,298.396,354.663,347.306,18.813,8.011,5
102432.905,298.392,354.663,347.466,18.862,8.011,5
102449.03,298.393,354.821,347.306,18.862,8.021,5
102493.377,298.395,354.979,347.146,18.879,8.011,5
102461.125,298.393,355.216,347.146,18.813,8.021,5
102461.125,298.393,354.742,346.986,18.797,8.011,5
102457.093,298.392,354.663,346.666,18.813,8,5
102457.093,298.395,354.505,346.666,18.862,8,5
102436.936,298.388,354.584,346.826,18.862,7.97,5
102449.03,298.392,354.505,346.345,18.846,8,5
102449.03,298.392,354.584,346.185,18.879,8.011,5
102444.999,298.395,354.663,346.345,18.781,8,5
102469.188,298.388,354.584,346.345,18.813,8.011,5
102457.093,298.393,354.505,346.505,18.83,8,5
102465.156,298.395,354.426,345.865,18.862,7.99,5
102465.156,298.393,354.584,345.865,18.862,8.011,5
102465.156,298.388,354.584,346.185,18.83,8.011,5
102461.125,298.392,354.426,346.025,18.862,7.99,5
102457.093,298.388,354.347,345.705,18.797,7.99,5
102457.093,298.388,354.584,348.106,18.862,8.513,5
102453.062,298.388,354.505,347.786,18.879,8.533,5
102457.093,298.392,354.742,347.946,18.846,8.523,5
102457.093,298.395,354.663,347.466,18.83,8.503,5
102481.282,298.392,354.584,347.466,18.862,8.513,5
102453.062,298.392,354.505,347.466,18.83,8.513,5
102453.062,298.388,354.505,347.306,18.846,8.523,5
102457.093,298.387,354.505,347.306,18.813,8.503,5
102444.999,298.385,354.426,347.146,18.765,8.513,5
102453.062,298.384,354.426,347.466,18.797,8.513,5
102444.999,298.387,354.268,347.146,18.765,8.523,5
102428.873,298.385,354.189,347.466,18.83,8.523,5
102457.093,298.384,354.347,347.466,18.862,8.513,5
102449.03,298.388,354.426,347.466,18.862,8.513,5
102461.125,298.387,354.347,347.466,18.862,8.513,5
102465.156,298.388,354.11,347.146,18.862,8.523,5
102440.968,298.387,354.268,347.306,18.846,8.503,5
102457.093,298.384,354.031,346.826,18.846,8.523,5
102457.093,298.387,354.189,347.146,18.846,8.503,5
102457.093,298.385,354.11,347.146,18.846,8.513,5
102457.093,298.38,355.058,348.587,18.846,9.025,5
102477.251,298.38,355.058,348.907,18.846,9.036,5
102461.125,298.38,355.137,349.067,18.846,9.025,5
102457.093,298.384,355.216,348.907,18.813,9.015,5
102469.188,298.385,355.375,349.067,18.879,9.036,5
102465.156,298.384,355.216,349.067,18.895,9.015,5
102416.779,298.382,355.216,348.907,18.862,9.025,5
102461.125,298.377,355.375,348.907,18.846,9.025,5
102449.03,298.377,355.216,348.747,18.781,9.036,5
102457.093,298.377,355.454,349.067,18.83,9.015,5
102449.03,298.377,355.375,348.907,18.83,9.025,5
102453.062,298.377,355.375,349.067,18.846,9.025,5
102444.999,298.379,355.375,349.227,18.667,9.025,5
102440.968,298.388,355.375,349.387,18.699,9.025,5
102449.03,298.379,355.533,349.067,18.83,9.025,5
102457.093,298.38,355.691,349.067,18.813,9.046,5
102461.125,298.377,355.612,349.067,18.748,9.036,5
102449.03,298.377,355.454,349.227,18.813,9.036,5
102428.873,298.38,355.375,348.747,18.748,9.025,5
102444.999,298.374,355.454,349.227,18.634,9.025,5
102457.093,298.367,354.584,349.547,18.879,9.507,5
102457.093,298.369,354.979,349.227,18.846,9.487,5
102465.156,298.372,354.9,349.707,18.862,9.507,5
102457.093,298.366,354.9,349.547,18.846,9.497,5
102461.125,298.367,354.979,349.867,18.83,9.487,5
102461.125,298.367,354.742,349.707,18.862,9.476,5
102449.03,298.367,354.821,349.867,18.846,9.497,5
102461.125,298.364,354.9,349.707,18.862,9.497,5
102449.03,298.363,354.9,349.707,18.895,9.497,5
102449.03,298.367,354.9,350.508,18.862,9.497,5
102453.062,298.363,354.979,349.867,18.846,9.497,5
102465.156,298.369,355.296,350.348,18.895,9.497,5
102457.093,298.356,355.454,350.348,18.83,9.487,5
102465.156,298.366,355.137,350.028,18.879,9.487,5
102485.314,298.366,355.533,350.188,18.862,9.497,5
102465.156,298.369,355.216,350.028,18.83,9.497,5
102449.03,298.367,355.216,350.188,18.862,9.476,5
102449.03,298.366,355.375,350.028,18.895,9.487,5
102465.156,298.366,355.216,350.028,18.83,9.487,5
102444.999,298.369,355.296,350.028,18.797,9.507,5
102449.03,298.366,355.691,349.547,-0.138,10.009,5
102453.062,298.363,355.77,349.067,-0.155,9.999,5
102465.156,298.363,355.849,348.747,-0.155,9.999,5
102453.062,298.363,355.691,348.587,-0.138,10.009,5
102457.093,298.364,355.691,348.747,-0.155,10.009,5
102453.062,298.363,355.454,348.907,-0.138,10.009,5
102453.062,298.361,355.533,348.587,-0.155,10.03,5
102481.282,298.367,355.454,348.747,-0.171,10.019,5
102457.093,298.366,355.296,348.587,-0.155,9.989,5
102457.093,298.364,355.454,348.747,-0.155,10.019,5
102465.156,298.367,355.375,348.587,-0.138,10.009,5
102457.093,298.366,355.612,349.067,-0.138,9.999,5
102469.188,298.358,355.454,348.747,-0.155,10.009,5
102469.188,298.367,355.533,348.747,-0.187,9.999,5
102457.093,298.364,355.375,348.587,-0.155,10.009,5
102440.968,298.367,355.216,348.427,-0.138,10.019,5
102428.873,298.366,355.296,348.266,-0.155,9.989,5
102444.999,298.367,355.296,348.587,-0.155,9.999,5
102461.125,298.364,355.216,348.587,-0.122,10.009,5
102461.125,298.361,355.137,348.587,-0.171,10.019,5
102457.093,298.308,350.554,348.266,18.634,152.378,5
102465.156,298.297,350.396,348.106,18.634,152.398,5
102428.873,298.311,350.633,348.427,18.618,152.367,5
102457.093,298.306,350.633,348.427,18.65,152.378,5
102461.125,298.311,350.633,347.946,18.65,152.378,5
102461.125,298.316,350.475,348.427,18.667,152.378,5
102457.093,298.308,350.396,347.946,18.65,152.398,5
102469.188,298.305,350.396,347.946,18.618,152.388,5
102461.125,298.306,350.317,348.106,18.667,152.408,5
102453.062,298.295,350.475,348.266,18.634,152.408,5
102440.968,298.301,350.396,347.786,18.634,152.378,5
102465.156,298.308,350.396,348.106,18.618,152.388,5
102453.062,298.308,350.475,348.427,18.65,152.378,5
102461.125,298.314,350.554,348.266,18.65,152.378,5
102453.062,298.308,350.554,348.587,18.683,152.378,5
102428.873,298.309,350.554,348.266,18.667,152.398,5
102453.062,298.308,350.475,348.427,18.618,152.367,5
102449.03,298.308,350.475,348.106,18.634,152.388,5
102465.156,298.308,350.712,348.266,18.634,152.388,5
102440.968,298.308,350.317,348.106,18.65,152.388,5
